category,contributor_name,contributor_id,timestamp
coding-other,Bruno,1,1783771200
coding-other,Bruno,1,1783512000
coding-other,Bruno,1,1782993600
coding-other,Bruno,1,1782993600
coding-other,Bruno,1,1782734400
coding-other,Bruno,1,1782734400
coding-other,Bruno,1,1782734400
coding-other,Bruno,1,1782561600
coding-other,Bruno,1,1782302400
coding-other,Bruno,1,1782302400
documentation,Bruno,1,1782043200
coding-other,Bruno,1,1782043200
coding-other,Bruno,1,1782043200
coding-other,Bruno,1,1782043200
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781956800
coding-other,Bruno,1,1781784000
coding-other,Jehan,4,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1781265600
coding-other,Bruno,1,1780228800
coding-other,Bruno,1,1780228800
coding-other,Bruno,1,1780228800
coding-other,Bruno,1,1780228800
coding-other,Bruno,1,1780142400
coding-other,Bruno,1,1780142400
coding-other,Bruno,1,1780056000
coding-other,Bruno,1,1780056000
coding-other,Bruno,1,1780056000
coding-other,Bruno,1,1778673600
coding-other,Bruno,1,1778328000
coding-other,Bruno,1,1778328000
coding-other,Bruno,1,1778328000
coding-other,Bruno,1,1778155200
coding-other,Bruno,1,1777723200
coding-other,Bruno,1,1777723200
coding-other,Bruno,1,1777723200
coding-other,Bruno,1,1777723200
coding-other,Bruno,1,1777636800
coding-other,Bruno,1,1777291200
coding-other,Bruno,1,1777032000
coding-other,Bruno,1,1776772800
coding-other,"Øyvind ""pippin"" Kolås",2,1775736000
communication,"Øyvind ""pippin"" Kolås",2,1775736000
coding-other,Tal Regev,3,1775304000
coding-other,Bruno,1,1775044800
coding-other,Bruno,1,1775044800
